yourlist:M20210331A94466D2655679D1FD8953E075198DA81B51CCG	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Organism ID	Signal peptide	Proteomes	Taxonomic lineage (KINGDOM)	Taxonomic lineage (SUBKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (SPECIES)
O54861	O54861	SORT_RAT	reviewed	Sortilin (Glycoprotein 110) (Gp110) (Neurotensin receptor 3) (NTR3)	Sort1	Rattus norvegicus (Rat)	825	10116	SIGNAL 1..31;  /evidence="ECO:0000269|PubMed:26479776"	UP000002494: Chromosome 2	Metazoa		Chordata	Rattus norvegicus (Rat)
P23502	P23502	SL17_ENTHI	reviewed	170 kDa surface lectin	CEL-170/4	Entamoeba histolytica	1285	5759	SIGNAL 1..15;  /evidence="ECO:0000269|PubMed:2000392, ECO:0000269|PubMed:2536731"				Evosea	Entamoeba histolytica
Q8TCT7	Q8TCT7	SPP2B_HUMAN	reviewed	Signal peptide peptidase-like 2B (SPP-like 2B) (SPPL2b) (EC 3.4.23.-) (Intramembrane protease 4) (IMP-4) (Presenilin homologous protein 4) (PSH4) (Presenilin-like protein 1)	SPPL2B IMP4 KIAA1532 PSL1	Homo sapiens (Human)	592	9606	SIGNAL 1..25;  /evidence="ECO:0000269|PubMed:15385547"	UP000005640: Chromosome 19	Metazoa		Chordata	Homo sapiens (Human)
Q966V2	Q966V2	SPRM_HALRO	reviewed	Spermosin (EC 3.4.21.99) [Cleaved into: Spermosin L1 light chain; Spermosin L2 light chain; Spermosin heavy chain]		Halocynthia roretzi (Sea squirt) (Cynthia roretzi)	388	7729	SIGNAL 1..22;  /evidence="ECO:0000269|PubMed:11856325"		Metazoa		Chordata	Halocynthia roretzi (Sea squirt) (Cynthia roretzi)
Q9YH85	Q9YH85	TECTA_CHICK	reviewed	Alpha-tectorin	TECTA	Gallus gallus (Chicken)	2120	9031	SIGNAL 1..24;  /evidence="ECO:0000269|PubMed:9079715"	UP000000539: Unplaced	Metazoa		Chordata	Gallus gallus (Chicken)
Q02763	Q02763	TIE2_HUMAN	reviewed	Angiopoietin-1 receptor (EC 2.7.10.1) (Endothelial tyrosine kinase) (Tunica interna endothelial cell kinase) (Tyrosine kinase with Ig and EGF homology domains-2) (Tyrosine-protein kinase receptor TEK) (Tyrosine-protein kinase receptor TIE-2) (hTIE2) (p140 TEK) (CD antigen CD202b)	TEK TIE2 VMCM VMCM1	Homo sapiens (Human)	1124	9606	SIGNAL 1..22;  /evidence="ECO:0000269|PubMed:15340161"	UP000005640: Chromosome 9	Metazoa		Chordata	Homo sapiens (Human)
P35590	P35590	TIE1_HUMAN	reviewed	Tyrosine-protein kinase receptor Tie-1 (EC 2.7.10.1)	TIE1 TIE	Homo sapiens (Human)	1138	9606	SIGNAL 1..21;  /evidence="ECO:0000269|PubMed:15340161"	UP000005640: Chromosome 1	Metazoa		Chordata	Homo sapiens (Human)
Q4V645	Q4V645	TRISS_DROME	reviewed	Trissin	Trissin CG14871	Drosophila melanogaster (Fruit fly)	108	7227	SIGNAL 1..29;  /evidence="ECO:0000269|PubMed:21939639"	UP000000803: Chromosome 3R	Metazoa		Arthropoda	Drosophila melanogaster (Fruit fly)
I6S7I0	I6S7I0	PNX65_SCOSU	reviewed	Putative neurotoxin 5 (Putative neurotoxin 6)		Scolopendra subspinipes (Vietnamese centipede)	64	55038	SIGNAL 1..18;  /evidence="ECO:0000269|PubMed:22595790"		Metazoa		Arthropoda	Scolopendra subspinipes (Vietnamese centipede)
I6S7G5	I6S7G5	TXB3A_SCOSU	reviewed	Kappa-scoloptoxin(11)-Ssm3a (Kappa-SLPTX(11)-Ssm3a) (Kappa-scoloptoxin-Ssm3a) (Kappa-SLPTX-Ssm3a)		Scolopendra subspinipes (Vietnamese centipede)	84	55038	SIGNAL 1..16;  /evidence="ECO:0000269|PubMed:22595790"		Metazoa		Arthropoda	Scolopendra subspinipes (Vietnamese centipede)
G5ED35	G5ED35	TTR52_CAEEL	reviewed	Transthyretin-like protein 52	ttr-52 F11F1.7	Caenorhabditis elegans	135	6239	SIGNAL 1..20;  /evidence="ECO:0000269|PubMed:20526330"	UP000001940: Chromosome III	Metazoa		Nematoda (roundworms)	Caenorhabditis elegans
Q9P2K2	Q9P2K2	TXD16_HUMAN	reviewed	Thioredoxin domain-containing protein 16	TXNDC16 ERP90 KIAA1344	Homo sapiens (Human)	825	9606	SIGNAL 1..27;  /evidence="ECO:0000255, ECO:0000269|PubMed:25122923"	UP000005640: Chromosome 14	Metazoa		Chordata	Homo sapiens (Human)
P67861	P67861	TXVE_DABRR	reviewed	Snake venom vascular endothelial growth factor toxin VR-1 (svVEGF) (VEGF-F)		Daboia russelii (Russel's viper) (Vipera russelii)	144	8707	SIGNAL 1..24;  /evidence="ECO:0000269|PubMed:14600159"		Metazoa		Chordata	Daboia russelii (Russel's viper) (Vipera russelii)
P35441	P35441	TSP1_MOUSE	reviewed	Thrombospondin-1 (Glycoprotein G)	Thbs1 Tsp1	Mus musculus (Mouse)	1170	10090	SIGNAL 1..18;  /evidence="ECO:0000269|PubMed:8654563"	UP000000589: Unplaced	Metazoa		Chordata	Mus musculus (Mouse)
P0DMD3	P0DMD3	PNXA9_SCOSU	reviewed	Putative neurotoxin 9		Scolopendra subspinipes (Vietnamese centipede)	105	55038	SIGNAL 1..21;  /evidence="ECO:0000269|PubMed:22595790"		Metazoa		Arthropoda	Scolopendra subspinipes (Vietnamese centipede)
Q9JLA3	Q9JLA3	UGGG1_RAT	reviewed	UDP-glucose:glycoprotein glucosyltransferase 1 (UGT1) (rUGT1) (EC 2.4.1.-) (UDP--Glc:glycoprotein glucosyltransferase) (UDP-glucose ceramide glucosyltransferase-like 1)	Uggt1 Gt Ugcgl1 Uggt Ugt1 Ugtr	Rattus norvegicus (Rat)	1551	10116	SIGNAL 1..42;  /evidence="ECO:0000269|PubMed:10764828"	UP000002494: Chromosome 9	Metazoa		Chordata	Rattus norvegicus (Rat)
I6RU32	I6RU32	TX31A_SCOSU	reviewed	Kappa-scoloptoxin(03)-Ssm1a (Kappa-SLPTX(03)-Ssm1a) (Kappa-scoloptoxin-Ssm1a) (Kappa-SLPTX-Ssm1a)		Scolopendra subspinipes (Vietnamese centipede)	74	55038	SIGNAL 1..23;  /evidence="ECO:0000269|PubMed:22595790"		Metazoa		Arthropoda	Scolopendra subspinipes (Vietnamese centipede)
I6S390	I6S390	TXD2A_SCOSU	reviewed	Omega-scoloptoxin(13)-Ssm2a (Omega-SLPTX(13)-Ssm2a) (Omega-scoloptoxin-Ssm2a) (Omega-SLPTX-Ssm2a)		Scolopendra subspinipes (Vietnamese centipede)	76	55038	SIGNAL 1..22;  /evidence="ECO:0000269|PubMed:22595790"		Metazoa		Arthropoda	Scolopendra subspinipes (Vietnamese centipede)
Q09332	Q09332	UGGG_DROME	reviewed	UDP-glucose:glycoprotein glucosyltransferase (UGT) (dUGT) (EC 2.4.1.-) (UDP--Glc:glycoprotein glucosyltransferase)	Uggt GT UGGG Ugt CG6850	Drosophila melanogaster (Fruit fly)	1548	7227	SIGNAL 1..22;  /evidence="ECO:0000269|PubMed:7729408"	UP000000803: Chromosome 3L	Metazoa		Arthropoda	Drosophila melanogaster (Fruit fly)
Q99ML8	Q99ML8	UCN2_MOUSE	reviewed	Urocortin-2 (Urocortin II) (Ucn II)	Ucn2	Mus musculus (Mouse)	113	10090	SIGNAL 1..23;  /evidence="ECO:0000269|PubMed:23493376"	UP000000589: Chromosome 9	Metazoa		Chordata	Mus musculus (Mouse)
Q09140	Q09140	UGGG_SCHPO	reviewed	UDP-glucose:glycoprotein glucosyltransferase (EC 2.4.1.-) (UDP--Glc:glycoprotein glucosyltransferase) (UGT)	gpt1 SPBPJ4664.06	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1448	284812	SIGNAL 1..18;  /evidence="ECO:0000269|PubMed:7982990, ECO:0000269|PubMed:8631292"	UP000002485: Chromosome II	Fungi	Dikarya	Ascomycota	Schizosaccharomyces pombe (Fission yeast)
Q16927	Q16927	VIT1_AEDAE	reviewed	Vitellogenin-A1 (VG) (PVG1) [Cleaved into: Vitellin light chain (VL); Vitellin heavy chain (VH)]	VGA1 AAEL010434	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	2169	7159	SIGNAL 1..46;  /evidence="ECO:0000269|PubMed:7550249, ECO:0000269|PubMed:8158643"	UP000008820: Unassembled WGS sequence	Metazoa		Arthropoda	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)
Q94637	Q94637	VIT6_OSCTI	reviewed	Vitellogenin-6 (OTI-VIT-6) [Cleaved into: VT3; VT2]	vit-6	Oscheius tipulae	1648	141969	SIGNAL 1..15;  /evidence="ECO:0000269|PubMed:23308227"		Metazoa		Nematoda (roundworms)	Oscheius tipulae
I2C090	I2C090	VCO3_OPHHA	reviewed	Ophiophagus venom factor (OVF) (CVF-like) (Complement C3 homolog) [Cleaved into: OVF alpha chain; OVF gamma chain; OVF beta chain]		Ophiophagus hannah (King cobra) (Naja hannah)	1641	8665	SIGNAL 1..22;  /evidence="ECO:0000269|PubMed:22561424"		Metazoa		Chordata	Ophiophagus hannah (King cobra) (Naja hannah)
P0DL40	P0DL40	VESPI_VESMG	reviewed	Vespin		Vespa magnifica (Hornet)	67	202807	SIGNAL 1..21;  /evidence="ECO:0000269|PubMed:21544181"		Metazoa		Arthropoda	Vespa magnifica (Hornet)
P35916	P35916	VGFR3_HUMAN	reviewed	Vascular endothelial growth factor receptor 3 (VEGFR-3) (EC 2.7.10.1) (Fms-like tyrosine kinase 4) (FLT-4) (Tyrosine-protein kinase receptor FLT4)	FLT4 VEGFR3	Homo sapiens (Human)	1363	9606	SIGNAL 1..24;  /evidence="ECO:0000269|PubMed:15340161"	UP000005640: Chromosome 5	Metazoa		Chordata	Homo sapiens (Human)
Q27309	Q27309	VIT_BOMMO	reviewed	Vitellogenin [Cleaved into: Vitellin light chain (VL); Vitellin light chain rare isoform; Vitellin heavy chain rare isoform; Vitellin heavy chain (VH)]	VG	Bombyx mori (Silk moth)	1782	7091	SIGNAL 1..15;  /evidence="ECO:0000269|PubMed:8193154"	UP000005204: Unassembled WGS sequence	Metazoa		Arthropoda	Bombyx mori (Silk moth)
P17948	P17948	VGFR1_HUMAN	reviewed	Vascular endothelial growth factor receptor 1 (VEGFR-1) (EC 2.7.10.1) (Fms-like tyrosine kinase 1) (FLT-1) (Tyrosine-protein kinase FRT) (Tyrosine-protein kinase receptor FLT) (FLT) (Vascular permeability factor receptor)	FLT1 FLT FRT VEGFR1	Homo sapiens (Human)	1338	9606	SIGNAL 1..26;  /evidence="ECO:0000269|PubMed:8248162"	UP000005640: Chromosome 13	Metazoa		Chordata	Homo sapiens (Human)
Q8WQK0	Q8WQK0	VN46_COTRU	reviewed	Venom protein Vn4.6		Cotesia rubecula (Cabbage white butterfly parasite) (Apanteles rubecula)	65	32392	SIGNAL 1..23;  /evidence="ECO:0000269|PubMed:12761876"		Metazoa		Arthropoda	Cotesia rubecula (Cabbage white butterfly parasite) (Apanteles rubecula)
Q6RG02	Q6RG02	VIT_PENME	reviewed	Vitellogenin [Cleaved into: Vitellin]		Penaeus merguiensis (Banana prawn) (Fenneropenaeus merguiensis)	2586	71412	SIGNAL 1..18;  /evidence="ECO:0000269|PubMed:16289995"		Metazoa		Arthropoda	Penaeus merguiensis (Banana prawn) (Fenneropenaeus merguiensis)
P04275	P04275	VWF_HUMAN	reviewed	von Willebrand factor (vWF) [Cleaved into: von Willebrand antigen 2 (von Willebrand antigen II)]	VWF F8VWF	Homo sapiens (Human)	2813	9606	SIGNAL 1..22;  /evidence="ECO:0000269|PubMed:3495266"	UP000005640: Chromosome 12	Metazoa		Chordata	Homo sapiens (Human)
Q2PGY1	Q2PGY1	XYNA_PENCI	reviewed	Endo-1,4-beta-xylanase A (Xylanase A) (EC 3.2.1.8) (1,4-beta-D-xylan xylanohydrolase A)	xynA	Penicillium citrinum	217	5077	SIGNAL 1..27;  /evidence="ECO:0000269|PubMed:16473771"		Fungi	Dikarya	Ascomycota	Penicillium citrinum
Q8J0K5	Q8J0K5	XYNB_TALFU	reviewed	Endo-1,4-beta-xylanase B (Xylanase B) (EC 3.2.1.8) (1,4-beta-D-xylan xylanohydrolase B)	xynB	Talaromyces funiculosus (Fruitlet core rot fungus) (Penicillium funiculosum)	282	28572	SIGNAL 1..39;  /evidence="ECO:0000269|PubMed:12664153"		Fungi	Dikarya	Ascomycota	Talaromyces funiculosus (Fruitlet core rot fungus) (Penicillium funiculosum)
C6JUP2	C6JUP2	3NO22_MICCO	reviewed	Three-finger toxin 3FTx-2 (3FTx)		Micrurus corallinus (Brazilian coral snake)	88	54390	SIGNAL 1..21;  /evidence="ECO:0000269|PubMed:21515432"		Metazoa		Chordata	Micrurus corallinus (Brazilian coral snake)
G5EC68	G5EC68	ABF2_CAEEL	reviewed	Antibacterial factor-related peptide 2	abf-2 C50F2.10	Caenorhabditis elegans	85	6239	SIGNAL 1..17;  /evidence="ECO:0000269|PubMed:11772394"	UP000001940: Chromosome I	Metazoa		Nematoda (roundworms)	Caenorhabditis elegans
Q7M3V1	Q7M3V1	33VP_CHENC	reviewed	33kDa venom protein		Chelonus sp. nr. curvimaculatus (Parasitic wasp)	246	132888	SIGNAL 1..20;  /evidence="ECO:0000269|PubMed:2383579"		Metazoa		Arthropoda	Chelonus sp. nr. curvimaculatus (Parasitic wasp)
Q9PRI1	Q9PRI1	3SOC7_MICCO	reviewed	Alpha-neurotoxin homolog 7 (NXH7) (Alpha-neurotoxin homolog 3) (NXH3)		Micrurus corallinus (Brazilian coral snake)	78	54390	SIGNAL 1..21;  /evidence="ECO:0000269|PubMed:21515432"		Metazoa		Chordata	Micrurus corallinus (Brazilian coral snake)
P28335	P28335	5HT2C_HUMAN	reviewed	5-hydroxytryptamine receptor 2C (5-HT-2C) (5-HT2C) (5-HTR2C) (5-hydroxytryptamine receptor 1C) (5-HT-1C) (5-HT1C) (Serotonin receptor 2C)	HTR2C HTR1C	Homo sapiens (Human)	458	9606	SIGNAL 1..32;  /evidence="ECO:0000269|PubMed:22497996"	UP000005640: Chromosome X	Metazoa		Chordata	Homo sapiens (Human)
C6JUP1	C6JUP1	3SX1_MICCO	reviewed	Three-finger toxin 3FTx-1		Micrurus corallinus (Brazilian coral snake)	84	54390	SIGNAL 1..21;  /evidence="ECO:0000269|PubMed:21515432"		Metazoa		Chordata	Micrurus corallinus (Brazilian coral snake)
C6JUP3	C6JUP3	3SX3_MICCO	reviewed	Three-finger toxin MicTx3 (MCOR0100C) (Three-finger toxin 3FTx-3)		Micrurus corallinus (Brazilian coral snake)	82	54390	SIGNAL 1..21;  /evidence="ECO:0000269|PubMed:21515432"		Metazoa		Chordata	Micrurus corallinus (Brazilian coral snake)
E3W9M2	E3W9M2	AA5GT_DIACA	reviewed	Cyanidin 3-O-glucoside 5-O-glucosyltransferase (acyl-glucose) (AA5GT) (Dc AA5GT) (EC 2.4.1.299) (Acyl-glucose-dependent anthocyanin 5-O-glucosytransferase) (Beta-glucosidase like protein) (DcBGLUL)	AA5GT	Dianthus caryophyllus (Carnation) (Clove pink)	502	3570	SIGNAL 1..30;  /evidence="ECO:0000269|PubMed:20971893"		Viridiplantae		Streptophyta	Dianthus caryophyllus (Carnation) (Clove pink)
Q76FP5	Q76FP5	6GAL_HYPRU	reviewed	Endo-beta-1,6-galactanase (EC 3.2.1.164)	6GAL	Hypocrea rufa (Trichoderma viride)	479	5547	SIGNAL 1..20;  /evidence="ECO:0000269|PubMed:12543554, ECO:0000269|PubMed:14565843"		Fungi	Dikarya	Ascomycota	Hypocrea rufa (Trichoderma viride)
Q6Z232	Q6Z232	AGP1_ORYSJ	reviewed	Arabinogalactan protein 1 (OsAGP1)	AGP1 Os08g0482300 OJ1111_H02.8 OSJNBb0092C08.37	Oryza sativa subsp. japonica (Rice)	146	39947	SIGNAL 1..42;  /evidence="ECO:0000269|PubMed:15653800"	UP000000763: Chromosome 8, UP000059680: Chromosome 8	Viridiplantae		Streptophyta	Oryza sativa (Rice)
Q84V39	Q84V39	ALL10_OLEEU	reviewed	Major pollen allergen Ole e 10 (allergen Ole e 10)		Olea europaea (Common olive)	123	4146	SIGNAL 1..21;  /evidence="ECO:0000269|PubMed:15004167"		Viridiplantae		Streptophyta	Olea europaea (Common olive)
P09230	P09230	AEP_YARLI	reviewed	Alkaline extracellular protease (AEP) (EC 3.4.21.62)	XPR2 YALI0F31889g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	454	284591	SIGNAL 1..15;  /evidence="ECO:0000269|PubMed:9353927"	UP000001300: Chromosome F	Fungi	Dikarya	Ascomycota	Yarrowia lipolytica (Candida lipolytica)
P29064	P29064	AGLU_CANTS	reviewed	Alpha-glucosidase (EC 3.2.1.20) (Maltase) [Cleaved into: Alpha-glucosidase subunit 1; Alpha-glucosidase subunit 2]		Candida tsukubaensis (Yeast) (Pseudozyma tsukubaensis)	1070	5483	SIGNAL 1..35;  /evidence="ECO:0000269|PubMed:1761061"		Fungi	Dikarya	Basidiomycota	Candida tsukubaensis (Yeast) (Pseudozyma tsukubaensis)
O88917	O88917	AGRL1_RAT	reviewed	Adhesion G protein-coupled receptor L1 (Calcium-independent alpha-latrotoxin receptor 1) (CIRL-1) (Latrophilin-1)	Adgrl1 Cirl Cirl1 Cl1 Lphn1	Rattus norvegicus (Rat)	1515	10116	SIGNAL 1..24;  /evidence="ECO:0000269|PubMed:9208860"	UP000002494: Chromosome 19	Metazoa		Chordata	Rattus norvegicus (Rat)
Q9Z1K9	Q9Z1K9	ADA17_RAT	reviewed	Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b)	Adam17 Tace	Rattus norvegicus (Rat)	827	10116	SIGNAL 1..17;  /evidence="ECO:0000269|PubMed:26479776"	UP000002494: Unplaced	Metazoa		Chordata	Rattus norvegicus (Rat)
Q28989	Q28989	AMBN_PIG	reviewed	Ameloblastin (Sheathlin)	AMBN	Sus scrofa (Pig)	421	9823	SIGNAL 1..26;  /evidence="ECO:0000269|PubMed:17890672"	UP000008227: Chromosome 8, UP000314985: Chromosome 8	Metazoa		Chordata	Sus scrofa (Pig)
A9UGV7	A9UGV7	APEP3_ORYSJ	reviewed	Arabinogalactan peptide 3 (OsAGPEP3)	AGPEP3 Os05g0541750 OsJ_19396	Oryza sativa subsp. japonica (Rice)	63	39947	SIGNAL 1..26;  /evidence="ECO:0000269|PubMed:15653800"	UP000000763: Chromosome 5, UP000007752: Chromosome 5, UP000059680: Chromosome 5	Viridiplantae		Streptophyta	Oryza sativa (Rice)
P61312	P61312	ADM2_RAT	reviewed	Protein ADM2 (Intermedin) [Cleaved into: Adrenomedullin-2 (AM2) (Intermedin-long) (IMDL); Intermedin-short (IMDS)]	Adm2 Am2	Rattus norvegicus (Rat)	146	10116	SIGNAL 1..25;  /evidence="ECO:0000269|PubMed:26479776"	UP000002494: Chromosome 7	Metazoa		Chordata	Rattus norvegicus (Rat)
Q63191	Q63191	AEGP_RAT	reviewed	Apical endosomal glycoprotein (MAM domain-containing protein 4)	Mamdc4 Aegp	Rattus norvegicus (Rat)	1216	10116	SIGNAL 1..21;  /evidence="ECO:0000269|PubMed:7829488"	UP000002494: Unplaced	Metazoa		Chordata	Rattus norvegicus (Rat)
A9UGV6	A9UGV6	APEP2_ORYSJ	reviewed	Arabinogalactan peptide 2 (OsAGPEP2)	AGPEP2 Os01g0559900 LOC_Os01g37950 B1064G04.42 OsJ_02235	Oryza sativa subsp. japonica (Rice)	61	39947	SIGNAL 1..26;  /evidence="ECO:0000269|PubMed:15653800"	UP000000763: Chromosome 1, UP000007752: Chromosome 1, UP000059680: Chromosome 1	Viridiplantae		Streptophyta	Oryza sativa (Rice)
A9UGV5	A9UGV5	APEP1_ORYSJ	reviewed	Arabinogalactan peptide 1 (OsAGPEP1)	AGPEP1 Os01g0778400 LOC_Os01g57040 OsJ_03666 P0010B10.2	Oryza sativa subsp. japonica (Rice)	68	39947	SIGNAL 1..30;  /evidence="ECO:0000269|PubMed:15653800"	UP000000763: Chromosome 1, UP000007752: Chromosome 1, UP000059680: Chromosome 1	Viridiplantae		Streptophyta	Oryza sativa (Rice)
E0D877	E0D877	APY_AEDAL	reviewed	Apyrase (EC 3.6.1.5) (ATP-diphosphatase) (ADPase) (ATP-diphosphohydrolase) (Adenosine diphosphatase) (allergen Aed al 1)		Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)	564	7160	SIGNAL 1..25;  /evidence="ECO:0000269|PubMed:17244540"	UP000069940: Genome	Metazoa		Arthropoda	Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)
B1P0S1	B1P0S1	ANPM_PSEAM	reviewed	Antifreeze protein Maxi (5a-like AFP) (Type 1 hyperactive antifreeze protein) (AFP Hyp-1)		Pseudopleuronectes americanus (Winter flounder) (Pleuronectes americanus)	218	8265	SIGNAL 1..23;  /evidence="ECO:0000269|PubMed:15716269, ECO:0000269|PubMed:18225917"		Metazoa		Chordata	Pseudopleuronectes americanus (Winter flounder) (Pleuronectes americanus)
Q9U943	Q9U943	APLP_LOCMI	reviewed	Apolipophorins [Cleaved into: Apolipophorin-2 (Apolipophorin II) (apoLp-2); Apolipophorin-1 (Apolipophorin I) (apoLp-1)]		Locusta migratoria (Migratory locust)	3380	7004	SIGNAL 1..21;  /evidence="ECO:0000269|PubMed:11056463"		Metazoa		Arthropoda	Locusta migratoria (Migratory locust)
Q9V496	Q9V496	APLP_DROME	reviewed	Apolipophorins (Retinoid- and fatty acid-binding glycoprotein) [Cleaved into: Apolipophorin-2 (ApoL2) (Apolipophorin II) (ApoLII); Apolipophorin-1 (ApoL1) (Apolipophorin I) (ApoLI)]	apolpp Rfabg RfaBp CG11064	Drosophila melanogaster (Fruit fly)	3351	7227	SIGNAL 1..25;  /evidence="ECO:0000269|PubMed:8702812"	UP000000803: Chromosome 4	Metazoa		Arthropoda	Drosophila melanogaster (Fruit fly)
Q2A783	Q2A783	AVLB1_WHEAT	reviewed	Avenin-like b1 (TaAvlike-b1)	AVNLB	Triticum aestivum (Wheat)	285	4565	SIGNAL 1..18;  /evidence="ECO:0000269|Ref.2"	UP000019116: Unplaced	Viridiplantae		Streptophyta	Triticum aestivum (Wheat)
Q9NR16	Q9NR16	C163B_HUMAN	reviewed	Scavenger receptor cysteine-rich type 1 protein M160 (CD163 antigen-like 1) (CD antigen CD163b)	CD163L1 CD163B M160 UNQ6434/PRO23202	Homo sapiens (Human)	1453	9606	SIGNAL 1..40;  /evidence="ECO:0000269|PubMed:15340161"	UP000005640: Chromosome 12	Metazoa		Chordata	Homo sapiens (Human)
Q9BXJ3	Q9BXJ3	C1QT4_HUMAN	reviewed	Complement C1q tumor necrosis factor-related protein 4 (C1q/TNF-related protein 4)	C1QTNF4 CTRP4	Homo sapiens (Human)	329	9606	SIGNAL 1..16;  /evidence="ECO:0000269|PubMed:21658842"	UP000005640: Chromosome 11	Metazoa		Chordata	Homo sapiens (Human)
D4A540	D4A540	AUGN_RAT	reviewed	Augurin (Esophageal cancer-related gene 4 protein homolog)	Ecrg4	Rattus norvegicus (Rat)	148	10116	SIGNAL 1..31;  /evidence="ECO:0000269|PubMed:26479776"	UP000002494: Chromosome 9	Metazoa		Chordata	Rattus norvegicus (Rat)
Q9BWV1	Q9BWV1	BOC_HUMAN	reviewed	Brother of CDO (Protein BOC)	BOC UNQ604/PRO1190	Homo sapiens (Human)	1114	9606	SIGNAL 1..30;  /evidence="ECO:0000269|PubMed:15340161"	UP000005640: Chromosome 3	Metazoa		Chordata	Homo sapiens (Human)
Q9LRC8	Q9LRC8	BAGLU_SCUBA	reviewed	Baicalin-beta-D-glucuronidase (EC 3.2.1.167) (Baicalinase)	SGUS	Scutellaria baicalensis (Baical skullcap)	527	65409	SIGNAL 1..25;  /evidence="ECO:0000269|PubMed:10858442"		Viridiplantae		Streptophyta	Scutellaria baicalensis (Baical skullcap)
P13806	P13806	CA2D1_RABIT	reviewed	Voltage-dependent calcium channel subunit alpha-2/delta-1 (Voltage-gated calcium channel subunit alpha-2/delta-1) [Cleaved into: Voltage-dependent calcium channel subunit alpha-2-1; Voltage-dependent calcium channel subunit delta-1]	CACNA2D1 CACNL2A CCHL2A	Oryctolagus cuniculus (Rabbit)	1106	9986	SIGNAL 1..26;  /evidence="ECO:0000269|PubMed:2558713"	UP000001811: Unplaced	Metazoa		Chordata	Oryctolagus cuniculus (Rabbit)
A3RF67	A3RF67	BAGBG_DALNI	reviewed	Isoflavonoid 7-O-beta-apiosyl-glucoside beta-glycosidase (EC 3.2.1.161) (Beta-glycosidase)		Dalbergia nigrescens (Thai blackwood)	547	298683	SIGNAL 1..31;  /evidence="ECO:0000269|PubMed:16098548"		Viridiplantae		Streptophyta	Dalbergia nigrescens (Thai blackwood)
B8JLQ9	B8JLQ9	CBPO_DANRE	reviewed	Carboxypeptidase O (EC 3.4.17.-)	cpo	Danio rerio (Zebrafish) (Brachydanio rerio)	363	7955	SIGNAL 1..24;  /evidence="ECO:0000269|PubMed:21921028"	UP000000437: Chromosome 1	Metazoa		Chordata	Danio rerio (Zebrafish) (Brachydanio rerio)
Q76FB0	Q76FB0	C550B_CYACA	reviewed	Cytochrome c-550 (Cytochrome c550)	psbV	Cyanidium caldarium (Red alga)	155	2771	SIGNAL 1..20;  /evidence="ECO:0000255|HAMAP-Rule:MF_01378, ECO:0000269|PubMed:8534673"				Rhodophyta	Cyanidium caldarium (Red alga)
Q94K85	Q94K85	CATB3_ARATH	reviewed	Cathepsin B-like protease 3 (EC 3.4.22.-) (Cathepsin B3) (AtCathB3)	CATHB3 At4g01610 T15B16.17a	Arabidopsis thaliana (Mouse-ear cress)	359	3702	SIGNAL 1..26;  /evidence="ECO:0000269|PubMed:27058316"	UP000006548: Chromosome 4	Viridiplantae		Streptophyta	Arabidopsis thaliana (Mouse-ear cress)
Q07092	Q07092	COGA1_HUMAN	reviewed	Collagen alpha-1(XVI) chain	COL16A1 FP1572	Homo sapiens (Human)	1604	9606	SIGNAL 1..21;  /evidence="ECO:0000269|PubMed:15165854, ECO:0000269|PubMed:7882999"	UP000005640: Chromosome 1	Metazoa		Chordata	Homo sapiens (Human)
W1I921	W1I921	CRAS_ACHAC	reviewed	Cysteine-rich atrial secretory protein	crasp	Achatina achatina (Giant Ghana snail)	184	1442373	SIGNAL 1..26;  /evidence="ECO:0000269|PubMed:26444993"		Metazoa		Mollusca	Achatina achatina (Giant Ghana snail)
Q9NZV1	Q9NZV1	CRIM1_HUMAN	reviewed	Cysteine-rich motor neuron 1 protein (CRIM-1) (Cysteine-rich repeat-containing protein S52) [Cleaved into: Processed cysteine-rich motor neuron 1 protein]	CRIM1 S52 UNQ1886/PRO4330	Homo sapiens (Human)	1036	9606	SIGNAL 1..34;  /evidence="ECO:0000269|PubMed:12805376, ECO:0000269|PubMed:15340161"	UP000005640: Chromosome 2	Metazoa		Chordata	Homo sapiens (Human)
Q8SXL2	Q8SXL2	CCHA2_DROME	reviewed	Neuropeptide CCHamide-2	CCHa2 CG14375	Drosophila melanogaster (Fruit fly)	136	7227	SIGNAL 1..24;  /evidence="ECO:0000269|PubMed:21214272, ECO:0000269|PubMed:23293632"	UP000000803: Chromosome 3R	Metazoa		Arthropoda	Drosophila melanogaster (Fruit fly)
